"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3"
"Neg",40760,"[M-H]-",14.265,"PS 18:0_22:5 (c)","PS",336460,519204,516636,14263,8708,14073,6244,12977,3634,2066,0,0,0,0,0,0,0,0
"Neg",40630,"[M-H]-",12.273,"PS 18:0_22:6 (a)","PS",9318863,10472113,10944663,222796,96193,105413,51403,41401,0,0,0,0,0,0,0,0,0,0
"Neg",40628,"[M-H]-",13.143,"PS 18:0_22:6 (b)","PS",138155,193807,360004,0,0,0,4991,0,0,0,0,0,0,0,0,0,0,0
"Neg",31486,"[M-H]-",7.28,"PS 18:0_9:0<oxo>","OxPS",9029,1748,11272,0,0,0,0,6918,5157,0,0,0,30,0,177,0,0,0
"Neg",37764,"[M-H]-",12.773,"PS 18:1_18:1","PS",19805408,23393628,24412712,421268,41027,432398,351131,519895,359451,7747,0,17900,0,0,0,6906,0,0
"Neg",37647,"[M-H]-",11.862,"PS 18:1_18:2 (a)","PS",598916,436925,643689,5304,0,9107,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",37648,"[M-H]-",11.99,"PS 18:1_18:2 (b)","PS",792908,925183,866066,3856,0,9107,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",37649,"[M-H]-",12.858,"PS 18:1_18:2 (c)","PS",0,0,0,0,0,0,0,0,0,0,0,0,0,6909,8337,0,0,0
"Neg",39471,"[M-H]-",13.944,"PS 18:1_20:1","PS",3463546,3236210,3393692,29016,4943,15730,18517,58897,5674,1950,3307,7381,0,0,0,2846,0,0
"Neg",39995,"[M-H]-",13.915,"PS 18:1_20:1<OH>","OxPS",0,0,0,0,174025,289166,8419,0,0,0,0,0,0,0,0,0,0,0
"Neg",41122,"[M-H]-",15.276,"PS 18:1_22:1","PS",2911402,3201036,3251281,3824,2488,3520,7206,8918,3598,0,0,0,0,0,0,0,0,0
"Neg",41440,"[M-H]-",15.649,"PS 18:1_22:1<OH>","OxPS",259073,295586,196530,3030,2280,3522,0,3250,2825,0,0,0,0,0,0,0,0,111
"Neg",41007,"[M-H]-",14.214,"PS 18:1_22:2","PS",66854,185760,163510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4090
"Neg",40629,"[M-H]-",11.629,"PS 18:1_22:5","PS",2456810,2626447,2649851,46583,17187,7131,0,3926,2970,2722,0,0,0,0,0,4094,0,0
"Neg",40513,"[M-H]-",11.299,"PS 18:1_22:6 (a)","PS",1628436,1993132,1845741,31991,41350,115887,0,4614,0,0,0,0,0,0,0,0,0,0
"Neg",40512,"[M-H]-",12.557,"PS 18:1_22:6 (b)","PS",2756885,2659855,2423058,457605,230243,147928,214774,59376,81633,5502,0,15730,3665,7311,4971,4244,7573,5883
"Neg",42717,"[M-H]-",16.725,"PS 18:1_24:1","PS",872988,483140,1158842,0,0,7670,6323,0,0,0,0,3804,0,0,0,0,0,0
"Neg",42601,"[M-H]-",15.454,"PS 18:1_24:2","PS",193545,312225,127033,0,0,0,0,0,0,0,3553,0,2497,0,2410,0,0,0
"Neg",39590,"[M-H]-",15.229,"PS 20:0_18:1","PS",1872211,843650,2249717,7694,0,11393,8388,21205,2906,0,0,0,0,0,0,0,0,0
"Neg",43774,"[M-H]-",13.862,"PS 20:1_24:5","PS",904295,975477,1236512,435436,43537,20089,9549,33279,39971,0,0,0,0,0,0,4286,0,0
"Neg",41248,"[M-H]-",16.753,"PS 22:0_18:1","PS",1269892,1760199,1961058,0,0,4034,5011,21627,5518,0,4006,0,0,0,0,3295,0,3998
"Neg",42842,"[M-H]-",18.379,"PS 24:0_18:1","PS",755107,514556,1355382,3928,0,4375,0,9622,0,0,0,0,0,3395,0,3454,4565,0
"Neg",37676,"[M-H]-",12.953,"PS 34:2<2oxo>","OxPS",0,0,0,338643,785612,1384960,147823,272313,228734,142070,190675,181337,64652,132861,99515,71370,57038,73108
"Neg",40737,"[M-H]-",12.372,"PS 38:3<2OH>","OxPS",18513000,18075514,18226542,6098705,3005651,3734640,4717326,5628284,6423575,1381376,729643,1525744,321974,148020,633158,436501,433221,295452
"Neg",41344,"[M-H]-",14.234,"PS 40:2<oxo>","OxPS",3207526,2823474,2701846,788687,521131,572295,293512,259398,313065,0,0,0,0,0,0,0,0,0
"Pos",39522,"[M+NH4]+",22.025,"TG 14:0_14:0_16:0","TG",3268683,2964794,2522664,1361573,1527532,1347239,1204147,1782413,1745205,1451449,1165571,1142999,1325215,1455657,1330742,1260711,988508,1175745
"Pos",39345,"[M+NH4]+",21.189,"TG 14:0_14:0_16:1","TG",1598022,1400235,1280794,377478,283042,352110,732420,662632,911055,935231,735478,767119,689576,802632,303560,747827,685631,569219
"Pos",40894,"[M+NH4]+",22.395,"TG 14:0_15:0_16:0","TG",1094070,1648799,1541064,741351,766352,599304,1120024,835608,747190,831400,636181,1107729,487626,522770,560984,1113792,588908,657938
"Pos",40700,"[M+NH4]+",21.64,"TG 14:0_15:0_16:1","TG",1068933,896526,763654,355401,477496,292947,398495,226409,333186,227980,403039,164078,162889,368403,355963,225964,367212,261914
