"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Pos","[M+NH4]+",21.569,894.75452,"TG 16:0_16:1_22:6","TG",51635
"Pos","[M+NH4]+",21.61,920.77002,"TG 16:1_18:1_22:6","TG",53897
"Pos","[M+NH4]+",21.622,870.75476,"TG 16:0_18:2_18:3","TG",49502
"Pos","[M+NH4]+",21.622,896.77014,"TG 18:2_18:2_18:2","TG",51815
"Pos","[M+NH4]+",21.64,780.70789,"TG 14:0_15:0_16:1","TG",40700
"Pos","[M+NH4]+",21.723,972.80151,"TG 18:1_20:4_22:5","TG",57912
"Pos","[M+NH4]+",21.73,946.78601,"TG 16:0_20:4_22:5","TG",55965
"Pos","[M+NH4]+",21.735,998.81708,"TG 18:1_22:5_22:5","TG",59742
"Pos","[M+NH4]+",21.882,870.7547,"TG 14:0_16:0_22:5","TG",49500
"Pos","[M+NH4]+",21.89,844.73926,"TG 14:0_16:0_20:4","TG",46963
"Pos","[M+NH4]+",21.9,896.77032,"TG 16:0_16:1_22:5","TG",51818
"Pos","[M+NH4]+",21.949,922.78595,"TG 16:1_18:1_22:5","TG",54065
"Pos","[M+NH4]+",21.999,972.80139,"TG 16:0_22:4_22:6","TG",57911
"Pos","[M+NH4]+",22.025,768.70758,"TG 14:0_14:0_16:0","TG",39522
"Pos","[M+NH4]+",22.038,948.80157,"TG 18:1_18:2_22:5","TG",56098
"Pos","[M+NH4]+",22.043,998.81708,"TG 18:1_22:4_22:6","TG",59743
"Pos","[M+NH4]+",22.063,794.72314,"TG 14:0_16:0_16:1","TG",42149
"Pos","[M+NH4]+",22.066,870.75476,"TG 16:0_16:0_20:5","TG",49501
"Pos","[M+NH4]+",22.09,896.7702,"TG 16:0_18:1_20:5","TG",51816
"Pos","[M+NH4]+",22.099,820.73926,"TG 14:0_16:1_18:1","TG",44659
"Pos","[M+NH4]+",22.143,846.75464,"TG 16:1_16:1_18:1","TG",47146
"Pos","[M+NH4]+",22.184,974.81726,"TG 18:1_20:3_22:5","TG",58061
"Pos","[M+NH4]+",22.277,872.77032,"TG 16:1_18:1_18:2","TG",49682
"Pos","[M+NH4]+",22.286,910.78583,"TG 16:0_17:1_22:5","TG",53062
"Pos","[M+NH4]+",22.288,820.73907,"TG 16:0_16:1_16:1","TG",44658
"Pos","[M+NH4]+",22.289,884.77014,"TG 15:0_16:0_22:5","TG",50754
"Pos","[M+NH4]+",22.306,936.80151,"TG 17:1_18:1_22:5","TG",55221
"Pos","[M+NH4]+",22.318,898.78577,"TG 18:1_18:2_18:2","TG",51981
"Pos","[M+NH4]+",22.319,974.81714,"TG 16:0_22:4_22:5","TG",58060
