SPECTRUM - MS
E:\JOSH\2. RISOP PROJECT\1. MS-DIAL run\Neg\Neg_ML210_270min_2.raw
 FTMS - p ESI d Full ms2 752.5228@hcd30.00 [52.5457-788.1853] 
Scan #:6321 
RT: 13.02 
AV: 1 
Data points: 635
Mass,Intensity
227.591167177206,0
227.593227850752,0
228.192006156002,0
228.19407499521,0
228.196143862553,0
228.198212758032,0
228.200281681647,202.848739624023
228.202350633399,395.506744384766
228.204419613287,480.041381835938
228.206488621313,386.162414550781
228.208557657478,187.844635009766
228.210637918548,0
228.21270701099,0
228.214776131571,0
228.216845280293,0
253.199355019822,0
253.201773097494,0
253.204191209805,0
253.206609356757,0
253.209027538349,124.718643188477
253.211445754583,331.948486328125
253.213864005459,833.471252441406
253.216282290978,1389.13330078125
253.21870061114,1490.8916015625
253.221118965947,980.553955078125
253.223537355398,482.248443603516
253.225955779495,123.607727050781
253.228378216615,0
253.230796710005,0
253.233215238043,0
253.235633800728,0
255.218343812832,0
255.220790870447,0
255.223237963257,0
255.225685091262,0
255.228132254462,324.81640625
255.230579452859,594.702575683594
255.233026686452,729.177368164063
255.235473955243,633.806884765625
255.237921259232,391.723114013672
255.24036859842,162.208068847656
255.242408437894,0
255.244855847482,0
255.24730329227,0
255.24975077226,0
259.221290206772,0
259.223795066638,0
259.22629996281,0
259.22880489529,0
259.231309864079,28.1312618255615
259.233814869176,263.094543457031
259.236319910584,1337.9189453125
259.238824988301,3455.44482421875
259.24133010233,5739.13037109375
259.243835252671,6560.65869140625
259.246340439324,4579.33642578125
259.248845662291,2448.08374023438
259.251350921571,745.329162597656
259.253856217166,205.393188476563
259.256735538973,0
259.2592409072,0
259.261746311743,0
259.264251752604,0
260.234071309248,0
260.236590857832,0
260.239110443007,0
260.241630064774,0
260.244149723134,227.422180175781
260.246669418087,397.690155029297
260.249189149634,457.992523193359
260.251708917775,370.373260498047
260.254228722512,198.796722412109
260.256764791675,0
260.259284669604,0
260.261804584131,0
260.264324535256,0
269.21544277522,0
269.218093877636,0
269.220745019212,0
269.223396199949,0
269.226047419848,0
269.22869867891,0
269.231349977135,0
269.234001320753,457.449951171875
269.236652697308,210.193572998047
269.238742502044,1408.53247070313
269.241393956931,7040.3154296875
269.244045450985,17248.900390625
269.246696984207,28264.54296875
269.249348556599,31415.75390625
269.25200016816,21663.46875
269.254651818891,11567.0087890625
269.257303508794,3847.42138671875
269.259955237869,1494.81396484375
269.262607006116,887.055419921875
269.265258813537,378.796997070313
269.268472333166,616.553649902344
269.271124218936,97.9136352539063
269.273757475958,0
269.276409440081,0
269.279061443381,0
269.281713485859,0
285.204094590863,0
285.206985339854,0
285.209876132795,0
285.212766969687,0
285.215657850531,268.903167724609
285.218548775327,525.669006347656
285.221439744077,692.191589355469
285.224330756782,653.21533203125
285.227221813441,432.013946533203
285.230112914057,177.077621459961
285.232983219735,0
285.235874408266,0
285.238765640757,0
285.241656917207,0
303.192174110258,0
303.195342611868,0
303.198511163146,0
303.201679764094,0
303.204848414713,0
303.208017115004,0
303.211185864968,0
303.214354664606,0
303.217523513919,0
303.220118722408,2355.072265625
303.223287671074,12380.3115234375
303.226456669419,41006.4765625
303.229625717443,71486.171875
303.232794815146,94250.3515625
303.235963962532,74540.71875
303.239133159599,44196.78515625
303.24230240635,16261.7216796875
303.245471702786,5502.66455078125
303.248641048907,2303.47802734375
303.251810444714,1274.07824707031
303.254979890209,18.7093982696533
303.258724582889,0
303.261894127762,0
303.265063722325,0
303.268233366581,0
304.215005805289,0
304.218190354065,0
304.221374952845,0
304.224559601631,0
304.227744300423,185.944473266602
304.230929049223,465.657196044922
304.234113848032,1080.45043945313
304.23729869685,1254.89367675781
304.240483595679,872.788208007813
304.24366854452,448.372100830078
304.246853543374,152.379730224609
304.25002228135,0
304.253207380233,0
304.256392529132,0
304.259577728048,0
330.226401534053,0
330.230003129129,0
330.233604783126,0
330.237206496046,0
330.240808267889,64.4094772338867
330.244410098658,571.490539550781
330.248011988353,1218.6943359375
330.251613936975,1860.40405273438
330.255215944527,1694.16772460938
330.258818011009,1026.02709960938
330.262420136422,422.577484130859
330.266022320769,150.302047729492
330.269625877068,0
330.273228179284,0
330.276830540437,0
330.280432960527,0
331.229919484962,0
331.233537509761,0
331.237155593839,0
331.240773737199,0
331.244391939841,120.71411895752
331.248010201767,566.872314453125
