"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","H2O2_0h_1","H2O2_0h_2","H2O2_0h_3","H2O2_1min_1","H2O2_1min_2","H2O2_1min_3","H2O2_20min_1","H2O2_20min_2","H2O2_20min_3","H2O2_4h_1","H2O2_4h_2","H2O2_4h_3","H2O2_24h_1","H2O2_24h_2","H2O2_24h_3","H2O2_72h_1","H2O2_72h_2","H2O2_72h_3"
"Neg",62797,"[M-H]-",22.304,"CL 16:1_18:2_18:1_18:2","CL",2473272,2884445,2496925,2612011,2207774,2558376,1635673,617231,1246644,2996889,3516983,3738284,2998294,2935865,2416653,2702112,3545280,2948629
"Neg",62735,"[M-H]-",21.779,"CL 16:1_18:2_18:2_18:2","CL",354017,370835,211150,289800,159609,330151,124309,20852,301925,384509,432301,437850,258597,368020,253442,355533,280643,411864
"Neg",63420,"[M-H]-",23.649,"CL 16:1_20:4_18:1_18:1","CL",21151,30030,9560,0,19471,8797,9797,12595,14892,23866,36485,24952,31467,31618,39382,5800,43449,50409
"Neg",63371,"[M-H]-",22.784,"CL 16:1_20:4_18:1_18:2","CL",727028,1116983,1034595,1136350,288498,1146450,644978,490823,872304,1312618,1501548,1447199,1386214,1159389,1296668,1069239,1391120,1204621
"Neg",63228,"[M-H]-",23.49,"CL 17:1_18:1_18:1_18:1","CL",766259,908938,785960,790865,583699,441471,405619,378522,516550,775292,1261055,1075039,978978,788183,928495,810671,1036496,962128
"Neg",63175,"[M-H]-",23.046,"CL 17:1_18:1_18:1_18:2","CL",1187947,1364227,1290547,1260605,821430,1093852,642748,610592,876567,1148807,1798623,1651639,1397466,1322132,1217181,1297610,1509096,1246192
"Neg",63115,"[M-H]-",22.595,"CL 17:1_18:2_18:1_18:2","CL",263517,317339,343943,102533,194964,153483,105999,106820,135083,174439,299842,439470,257747,279086,233043,185284,327083,124254
"Neg",63641,"[M-H]-",24.145,"CL 18:0_18:1_18:1_18:1","CL",92678,163465,132927,230558,168686,210343,88875,76835,35451,105538,281664,205612,221782,265519,254628,176726,316307,246072
"Neg",63586,"[M-H]-",23.727,"CL 18:1_18:1_18:1_18:1 (a)","CL",2008285,2666974,2080432,2259514,1590309,2155830,1196878,1098682,1492060,2249727,3342702,3071693,2617669,2303168,2529051,2369828,2913234,2452417
"Neg",63585,"[M-H]-",24.871,"CL 18:1_18:1_18:1_18:1 (b)","CL",7898,0,3949,0,0,0,10069,0,0,28213,3403,3757,3478,4151,0,5946,6078,7661
"Neg",63532,"[M-H]-",23.296,"CL 18:1_18:1_18:1_18:2","CL",4156137,4921717,4072564,4533447,3376001,4413588,2529549,2222773,3244487,4760796,6540237,5934783,5398917,4841150,4892524,4460961,5575571,4885410
"Neg",64204,"[M-H]-",23.378,"CL 18:1_18:1_18:1_20:3","CL",161282,365584,298295,323523,136742,329280,53392,49243,182240,354738,486523,292521,422037,212611,379174,325126,463676,203361
"Neg",64097,"[M-H]-",22.72,"CL 18:1_18:1_18:2_20:4","CL",322746,427515,420314,562152,299292,377321,102708,85480,256024,418482,308383,861444,835749,592051,406590,411181,488743,486915
"Neg",63478,"[M-H]-",22.849,"CL 18:1_18:2_18:1_18:2 (a)","CL",4079598,4792380,3074598,2846550,3059829,4187273,2355015,1344805,2133356,4725363,5985771,5545037,4748194,3986733,4381933,3733903,4946049,4413973
"Neg",63477,"[M-H]-",23.009,"CL 18:1_18:2_18:1_18:2 (b)","CL",462139,530622,1548129,1326984,342139,406067,246041,748767,350101,436598,696140,589994,464935,424859,446481,406565,508278,428883
"Neg",63474,"[M-H]-",23.221,"CL 18:1_18:2_18:1_18:2 (c)","CL",225015,845300,202680,730908,540423,716611,172456,99724,240979,601688,1121208,1070543,961357,135574,973986,212485,703069,792124
"Neg",63479,"[M-H]-",23.711,"CL 18:1_18:2_18:1_18:2 (d)","CL",324795,614282,376578,482737,223091,279281,270702,133965,227445,467561,677807,684811,373896,610112,544934,483612,709645,330854
"Neg",64153,"[M-H]-",22.968,"CL 18:1_18:2_18:1_20:3 (a)","CL",605061,803045,563354,647586,504338,585962,185201,257934,419090,638503,994598,758413,710788,607591,734266,354462,880340,659338
"Neg",64152,"[M-H]-",23.72,"CL 18:1_18:2_18:1_20:3 (b)","CL",137496,174129,240410,128361,188871,239830,73071,8325,31591,264787,385939,379368,206963,286035,305303,145898,368140,358236
"Neg",64095,"[M-H]-",23.292,"CL 18:1_18:2_18:1_20:4","CL",513846,631365,529856,497392,357162,254973,237066,240287,287140,510863,494850,746525,628333,604774,387566,496528,737020,587229
"Neg",63418,"[M-H]-",22.387,"CL 18:1_18:2_18:2_18:2 (a)","CL",994551,999513,1140620,1084153,723922,1043082,657132,434047,775354,1135017,1325772,1366494,922721,601382,416012,949007,1291562,1018030
"Neg",63419,"[M-H]-",22.512,"CL 18:1_18:2_18:2_18:2 (b)","CL",104316,46736,168436,97374,40264,127455,47076,71852,117792,93661,146964,152330,343736,417532,417795,45144,96096,136346
"Neg",63417,"[M-H]-",22.692,"CL 18:1_18:2_18:2_18:2 (c)","CL",755425,760034,731008,506764,994241,468341,424757,239092,319147,526657,894090,1835947,1019010,916068,886366,735721,956246,348028
"Neg",63416,"[M-H]-",23.257,"CL 18:1_18:2_18:2_18:2 (d)","CL",1080008,1307433,1166004,1285937,901864,1143155,513911,590978,386078,1339204,1707773,1676750,1597792,1310729,1468658,1218994,1635047,1323816
"Neg",64047,"[M-H]-",22.214,"CL 18:1_18:2_18:2_20:4 (a)","CL",343927,349331,400979,613823,195221,420566,193357,103067,186433,436820,493762,354445,427421,382349,433056,395852,563250,200776
"Neg",64045,"[M-H]-",22.85,"CL 18:1_18:2_18:2_20:4 (b)","CL",421249,498495,379903,314134,312278,454149,226718,181166,166196,242796,600844,488033,373646,316645,159761,384472,189260,486880
"Pos",21835,"[M+NH4]+",13.992,"DG 14:0_16:0","DG",5204302,4280421,6706833,4048812,6249270,4665078,4676853,2207738,5281849,5893149,7049174,4953729,4829972,5471100,2979822,3561181,5587768,4327989
"Pos",23818,"[M+NH4]+",15.303,"DG 16:0_16:0","DG",58573069,53802502,60724227,49584160,49673065,50131957,33760190,23396976,24027607,49754824,53330189,51995927,59128481,50419857,49581292,51340443,67349863,31762827
"Pos",23689,"[M+NH4]+",14.079,"DG 16:0_16:1","DG",49845266,45163156,46658023,41217779,24246692,40953637,32292665,12929044,37674022,36683404,39369272,23818998,41829265,15896161,33398284,34649155,25034005,35612862
"Pos",24764,"[M+NH4]+",14.768,"DG 16:0_17:1","DG",4353320,5935380,6146749,5639471,2376029,5094874,2079291,2646139,4709305,2643531,5189537,2493195,5584120,4041145,4195370,4207795,2718493,4709870
"Pos",26055,"[M+NH4]+",16.833,"DG 16:0_18:0","DG",26972320,27171435,27226946,24217456,23140319,23422715,14434988,10240577,16350000,21877752,23543749,24838724,25985416,10081241,12402431,11014652,29587274,25996994
"Pos",25882,"[M+NH4]+",15.449,"DG 16:0_18:1","DG",236671686,221219411,234559917,210356607,205376378,200614436,130909582,88278211,162378439,167860460,175271038,176712594,190708014,148889730,150926654,155489309,192828779,163500291
"Pos",26988,"[M+NH4]+",16.174,"DG 16:0_19:1","DG",7863247,8901825,3940529,8337058,7335555,7003698,4085035,2765589,5025968,5283510,6665871,6573891,5744006,5513824,5684005,5807387,6102739,2774780
"Pos",28240,"[M+NH4]+",18.444,"DG 16:0_20:0","DG",973077,2327233,1184015,1209882,2147847,1100571,1664897,1277335,753639,882095,2141588,2128684,2245711,2027300,1046159,1858624,2422242,2256178
"Pos",29647,"[M+NH4]+",13.962,"DG 16:0_22:5","DG",8450754,7039022,7438995,12019868,11079272,10548609,4323196,3239849,6133869,6060828,5773625,3681678,6174070,2242582,5567131,5664923,7836302,6341406
"Pos",33024,"[M+NH4]+",21.124,"DG 16:0_24:0","DG",1390608,1275531,1276883,1207407,1185771,1109902,701585,538174,694281,974214,1247056,1129829,1149641,1019867,1054036,989349,1344597,1130102
"Pos",32844,"[M+NH4]+",19.932,"DG 16:0_24:1","DG",3931293,3784780,3888649,3690584,3619552,3341552,1707077,1345844,1925273,2619833,3082356,2890223,3074993,2613041,2620428,1861648,3457315,3185654
"Pos",35564,"[M+NH4]+",22.073,"DG 16:0_26:0","DG",995147,917057,1034803,593786,916571,528100,353553,277671,494168,713288,878428,437485,866835,551221,787876,795455,934297,812691
"Pos",35374,"[M+NH4]+",21.075,"DG 16:0_26:1","DG",3130770,2896248,1964731,2831029,2662702,2488873,1272790,522922,730017,1572965,2586702,2510622,2693013,2118493,2186265,1463931,3040385,2779252
"Pos",25721,"[M+NH4]+",14.183,"DG 16:1_18:1","DG",47951065,43930012,46046003,43225722,43385688,39982056,32919322,21931740,37594365,37715325,36985488,38666082,19763476,19570785,33686187,35432715,42706699,35028704
"Pos",28238,"[M+NH4]+",18.497,"DG 18:0_18:0","DG",1667440,2327233,1269372,1084499,2137220,1128330,1664897,1277335,922224,1129050,2141588,2128684,2245711,2027300,980772,1858624,2422242,2256178
"Pos",28101,"[M+NH4]+",16.969,"DG 18:0_18:1","DG",61795275,60109425,61407564,66803868,60201410,61087130,25955152,19177472,31515129,36180590,38170887,40336969,41550528,19861082,34216964,37022343,47152098,41542319
"Pos",30373,"[M+NH4]+",18.526,"DG 18:0_20:1","DG",6572624,6249037,6485650,6944424,6518597,6585581,2261616,1736593,1316464,3086617,3506437,3806873,3711451,3069441,2946153,3140594,4114876,3593972
"Pos",30207,"[M+NH4]+",17.559,"DG 18:0_20:2","DG",1248466,1668072,1211688,3682007,1275669,3314944,127515,71336,345958,371853,97742,198034,338594,244558,440499,276891,266364,228614
"Pos",30011,"[M+NH4]+",16.044,"DG 18:0_20:3","DG",6804193,2999218,3185379,8692394,7861618,8083983,1533024,1335119,2012894,1250725,2090683,1017131,2659208,2186795,2199568,1633415,3464455,1799150
"Pos",29821,"[M+NH4]+",15.263,"DG 18:0_20:4 (a)","DG",18610875,15316543,16418525,28614988,24865067,26139946,2824034,3842281,2779023,5844347,2571811,3209868,6308369,5347267,4257544,6525394,9022676,7843783
"Pos",29820,"[M+NH4]+",15.383,"DG 18:0_20:4 (b)","DG",2861372,2088290,2962179,4327147,3935468,4482746,1746999,583086,1357751,5844347,2761207,2460206,1004270,799163,1585060,976477,1347981,1177044
"Pos",32125,"[M+NH4]+",15.297,"DG 18:0_22:5 (a)","DG",4387258,3578627,3724556,5819101,5102378,2409223,1507154,618600,1851401,3444550,3737732,3636844,4445448,3753218,4432164,2922843,8132586,7250280
"Pos",32122,"[M+NH4]+",15.354,"DG 18:0_22:5 (b)","DG",2384079,3578627,3724556,5819101,5102378,2994206,1507154,626662,1851401,3444550,3737732,3636844,4445448,3753218,4432164,5999006,8132586,7250280
"Pos",27948,"[M+NH4]+",15.558,"DG 18:1_18:1","DG",109144357,102250046,106078051,105830699,102839980,101187909,61372745,40907771,74112555,73923004,76440204,78734221,83535120,63926533,65280947,70446321,84226025,73380119
"Pos",27768,"[M+NH4]+",14.391,"DG 18:1_18:2 (a)","DG",6388206,3644417,3324328,3632635,3290911,4495811,4050266,4078602,4729530,3186173,3417676,5023313,6405012,5508408,2624228,5783701,4919203,5277975
"Pos",27770,"[M+NH4]+",14.486,"DG 18:1_18:2 (b)","DG",3535711,1561530,2271578,3453797,4836372,2087824,2186562,650442,1649867,1689251,2592987,2190294,3204765,2067819,2378705,2280832,2503244,2863590
"Pos",29014,"[M+NH4]+",16.285,"DG 18:1_19:1","DG",3950068,3602588,3788117,4002594,3913225,3731856,1900479,1290532,2300406,2373850,2527628,2528712,2573325,2113294,2064963,2204495,2664432,2426306
"Pos",30208,"[M+NH4]+",17.049,"DG 18:1_20:1","DG",18926278,8643008,18360398,20286137,18449011,18953335,8151254,5966727,10226832,10554045,10853117,11707650,11528089,9179611,9168666,9983482,12309591,10659822
"Pos",30014,"[M+NH4]+",15.756,"DG 18:1_20:2","DG",2737488,1631541,2598867,2024438,1903547,2249101,568687,762654,1395014,780644,1286478,1016084,1675961,1323914,1406898,939959,1610735,1407844
"Pos",32664,"[M+NH4]+",18.647,"DG 18:1_22:1","DG",1754635,3193855,3298425,1803354,3311762,3452771,1362914,665243,900130,1929472,2105318,2148753,2319906,1201827,1878403,2335952,2756972,2489363
"Pos",31945,"[M+NH4]+",14.032,"DG 18:1_22:5","DG",1249058,1657032,1741187,1986271,2244739,1647163,1091616,892200,1443287,716127,1831452,1608392,2160102,1650291,1802612,1744462,2639975,2295390
"Pos",35198,"[M+NH4]+",20.02,"DG 18:1_24:1","DG",2393137,2185219,2362023,2191103,2151254,2070394,1102353,811560,1226291,1564312,1796902,1726995,1800911,1434923,1476144,1730491,2046622,1810182
"Pos",37831,"[M+NH4]+",21.13,"DG 18:1_26:1","DG",1189640,1067821,1124714,1072344,1083095,901281,452383,383429,503574,680198,845621,782117,812529,659683,364566,655122,803540,674780
"Pos",27603,"[M+NH4]+",13.322,"DG 18:2_18:2","DG",44147863,46688590,50254326,33675934,41782063,27529278,39524115,28623587,44937871,38646997,34441194,30623815,39004138,38306036,39481061,37931506,46201671,41481173
"Neg",4114,"[M-H]-",7.176,"FA 16:0 (a)","FA",76319,30257,54739,23630,38665,65280,28547,13885,32436,26153,31148,36113,80750,66330,42370,41399,23949,34497
"Neg",4116,"[M-H]-",8.023,"FA 16:0 (b)","FA",251331,224248,205330,238195,175778,234503,417480,251802,517024,647577,669238,669090,747070,671846,762895,786844,1050572,909232
"Neg",4029,"[M-H]-",7.733,"FA 16:1","FA",0,2826,0,2881,0,0,0,1763,0,0,2368,0,3618,0,3242,30840,51828,50654
"Neg",5616,"[M-H]-",9.226,"FA 18:0","FA",197864,194537,166864,205711,203365,202385,220988,164258,253808,269820,277941,249709,342002,286477,333374,373031,480100,430086
"Neg",5531,"[M-H]-",8.273,"FA 18:1 (a)","FA",169862,227220,194010,153979,134483,136675,361979,171168,385608,447210,557877,476075,968801,839569,905864,1617035,2091544,1717570
"Neg",5534,"[M-H]-",8.96,"FA 18:1 (b)","FA",4056,16176,9991,5842,2871,9203,10361,9081,21963,12057,4217,2325,6551,8398,8055,34502,48150,44085
"Pos",15343,"[M+H]+",1.128,"LPC 14:0 (a)","LPC",0,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,0,0
"Pos",15345,"[M+H]+",1.501,"LPC 14:0 (b)","LPC",1953523,2436429,1703613,1642605,1466664,1380574,2182238,1430787,2142944,4861011,4549410,5547743,7897865,6664061,7156495,7728834,10405875,8943509
"Pos",15344,"[M+H]+",1.648,"LPC 14:0 (c)","LPC",6612787,10258069,5340175,6607337,4933286,4325442,12775083,9500438,15351832,39141728,40336447,43529948,61771047,57790210,62231802,70454152,95530677,82575481
"Pos",17396,"[M+H]+",2.505,"LPC 16:0 (a)","LPC",23615317,28891569,20815473,21304004,18088782,16618379,32201545,21355208,35472975,71010973,65981047,77091670,118282089,108406682,119054360,145456150,178578913,163213121
"Pos",17395,"[M+H]+",2.806,"LPC 16:0 (b)","LPC",120686186,155037952,102233268,107641004,90989834,86800335,236335561,147356304,281822548,588577028,616698397,623447366,942147938,867620659,971298558,1252922340,1732049101,1458984252
"Pos",17242,"[M+H]+",1.691,"LPC 16:1 (a)","LPC",11754240,13709707,11234135,9741015,8517123,8156374,7900865,5157176,8324616,10843178,9538592,11830556,17326641,15596339,16442314,19916010,25480133,24568841
"Pos",17241,"[M+H]+",1.858,"LPC 16:1 (b)","LPC",25697955,41945439,19134869,23715227,16697508,14223689,20788015,15033469,21791441,47177677,44475012,51029084,102343100,97639256,103617368,173378614,220312729,190765262
"Neg",23957,"[M+HCOO]-",0.922,"LPC 16:1<OH> (a)","OxLPC",0,0,0,0,0,0,0,0,0,0,0,0,26117,21279,41975,150697,156821,208126
"Neg",23956,"[M+HCOO]-",1.117,"LPC 16:1<OH> (b)","OxLPC",0,0,0,0,0,0,0,0,0,0,0,0,0,1733,1249,21965,2220,5850
"Pos",18390,"[M+H]+",3.437,"LPC 17:0 (a)","LPC",1274986,1711227,1144693,1167903,983085,875798,2123286,1378272,2541954,4993258,4865340,5143994,7903439,7326690,8090706,10490337,14213630,12052278
"Pos",18389,"[M+H]+",3.778,"LPC 17:0 (b)","LPC",1418829,1724742,1283855,1303235,1221071,1091183,2975287,1701902,3519629,6403913,6581994,6534116,9263864,8659500,9548170,11363386,15462245,13356773
"Pos",18232,"[M+H]+",2.417,"LPC 17:1","LPC",3056864,4824125,2388206,2726598,1986940,1749600,2547412,1783416,2854688,6164954,5878109,6264292,12658009,11684220,12468733,20638035,26454272,23120373
"Pos",19395,"[M+H]+",4.552,"LPC 18:0","LPC",3413173,4215947,2886838,3112713,2737722,2560307,5190316,3298116,5650968,10454206,9411461,11183386,16668851,14310020,16312642,17835853,23444729,21181131
"Pos",19245,"[M+H]+",2.853,"LPC 18:1 (a)","LPC",55302781,60376054,50967152,45065753,38846333,37717960,38466084,23493740,43010539,62797324,59340367,66661643,110129358,96312996,107689284,148972179,189842154,169672033
"Pos",19242,"[M+H]+",3.179,"LPC 18:1 (b)","LPC",126760185,194528165,97835729,115624946,88051310,76353313,117013944,77860487,134225373,261178472,251630984,268035512,569947152,498687725,545065408,918306314,1230279773,1033182312
"Neg",25730,"[M+HCOO]-",1.128,"LPC 18:1<OH>","OxLPC",0,0,0,0,0,0,2439,3159,3411,23975,30337,18000,99439,86235,73773,276478,262287,318562
"Neg",25564,"[M+HCOO]-",1.11,"LPC 18:1<oxo>","OxLPC",0,0,0,0,0,0,0,0,0,0,0,3387,0,0,0,26255,31948,49557
"Pos",19056,"[M+H]+",2.169,"LPC 18:2","LPC",6379842,9756699,4535370,5575387,4237592,3667002,2672352,2761880,2603688,5619424,4685178,8720402,21099351,19872061,21051224,38169389,49523664,43501763
"Pos",20231,"[M+H]+",4.26,"LPC 19:1","LPC",1316831,1700836,1111135,718980,999558,921184,1646286,1048203,2055861,3756122,3859314,3936741,7496381,6579734,7210413,10777057,14283622,12171202
"Pos",20931,"[M+H]+",2.615,"LPC 20:3","LPC",2170555,2789782,1748366,1988333,1443261,1367702,1151326,863972,1282489,2383869,2224519,2650019,6365689,6175730,6824147,12358410,15871195,14618671
